,layer1_size,learning_rate,error_threshold,layer_1_dropout_prob,layer1_activation_function,layer2_activation_function,mean_accuracy,mean_epochs,mean_time
254,4,0.1,0.2,0.2,sigmoid,softmax,0.9888888888888889,1079.6666666666667,81.32199970881145
284,4,0.1,0.3,0.3,sigmoid,softmax,0.9888888888888889,997.0,78.63731710116069
313,4,0.2,0.2,0.0,sigmoid,tan_h,0.9888888888888889,1445.3333333333333,104.93067852656047
572,8,0.2,0.3,0.3,sigmoid,softmax,0.9888888888888889,1613.6666666666667,119.54700016975403
566,8,0.2,0.3,0.2,sigmoid,softmax,0.9888888888888889,1651.3333333333333,121.79237087567647
438,8,0.1,0.1,0.1,sigmoid,sigmoid,0.9888888888888889,2197.6666666666665,163.3173336982727
548,8,0.2,0.2,0.3,sigmoid,softmax,0.9888888888888889,1768.0,131.62066634496054
440,8,0.1,0.1,0.1,sigmoid,softmax,0.9888888888888889,2271.3333333333335,172.21872822443643
446,8,0.1,0.1,0.2,sigmoid,softmax,0.9888888888888889,2222.6666666666665,167.31000010172525
462,8,0.1,0.2,0.1,sigmoid,sigmoid,0.9888888888888889,2557.6666666666665,187.48166728019714
464,8,0.1,0.2,0.1,sigmoid,softmax,0.9888888888888889,2656.6666666666665,196.18100007375082
468,8,0.1,0.2,0.2,sigmoid,sigmoid,0.9888888888888889,1751.6666666666667,130.2243332862854
470,8,0.1,0.2,0.2,sigmoid,softmax,0.9888888888888889,2303.6666666666665,172.0460000038147
474,8,0.1,0.2,0.3,sigmoid,sigmoid,0.9888888888888889,1829.6666666666667,137.09850478172302
476,8,0.1,0.2,0.3,sigmoid,softmax,0.9888888888888889,1852.6666666666667,139.97401070594788
482,8,0.1,0.3,0.0,sigmoid,softmax,0.9888888888888889,1142.0,83.6233336130778
486,8,0.1,0.3,0.1,sigmoid,sigmoid,0.9888888888888889,1679.3333333333333,123.83066654205322
492,8,0.1,0.3,0.2,sigmoid,sigmoid,0.9888888888888889,1936.3333333333333,143.5239985783895
512,8,0.2,0.1,0.1,sigmoid,softmax,0.9888888888888889,1577.6666666666667,118.56499791145325
494,8,0.1,0.3,0.2,sigmoid,softmax,0.9888888888888889,2074.6666666666665,157.37572407722473
498,8,0.1,0.3,0.3,sigmoid,sigmoid,0.9888888888888889,1307.3333333333333,102.55153751373291
